name,num_expert,total_time,forward_time,backward_time\n
mix_moe,4,20.502086329460145,10.244166541099549,10.154086494445801
mix_moe,8,20.715679812431336,10.535276865959167,10.075750541687011
mix_moe,16,21.922902262210847,11.521417582035065,10.303999900817871
mix_moe,32,22.99634256362915,13.073167896270752,9.849753475189209
mix_moe,64,25.53493764400482,15.920908522605895,9.51930866241455
fast_moe,4,33.32012379964193,16.161450656255088,17.08730020523071
fast_moe,8,39.61582927703857,19.714969635009766,19.8262443224589
fast_moe,16,57.24130999247233,28.251016585032144,28.89007790883382
fast_moe,32,75.88875974019369,38.15372797648112,37.55880146026611
fast_moe,64,108.5224614461263,56.491810162862144,51.650167274475095
faster_moe,4,40.36510728200277,20.678075726826986,19.613798395792642
faster_moe,8,44.469760004679365,22.495880476633708,21.888631343841553
faster_moe,16,53.4552916208903,27.870361709594725,25.45993398030599
faster_moe,32,66.26496849060058,36.81957537333171,29.2899156888326
faster_moe,64,76.58373107910157,42.769971466064455,33.63273372650146
