name,MOE-GPT,MOE-BERT,MOE-Transformer-xl
fastermoe,263.3206293741862,442.0243626912435,379.1051778157552
mix_moe,263.6995590209961,248.91806818644207,161.1162971496582
naive,263.89705454508464,198.0719446818034,91.71037839253744
