cuda:2 [0, 209, 3838, 0, 255, 3, 128, 0, 40, 5, 0, 1, 0, 0, 143, 0, 43, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 161, 35, 17, 0, 1, 305, 0, 0, 0, 1, 0, 0, 5, 0, 0, 2, 0, 263, 2, 0, 250, 1041, 3, 30, 295, 0, 0, 0, 24, 522, 36, 344]
cuda:3 [1524, 0, 0, 48, 0, 42, 1, 0, 7, 0, 0, 1, 1872, 0, 1, 28, 235, 0, 4, 0, 514, 5, 1109, 30, 0, 327, 0, 7, 0, 1, 1, 0, 609, 8, 0, 212, 1088, 3, 0, 0, 4, 1, 2, 0, 0, 1, 0, 139, 5, 0, 0, 235, 0, 0, 4, 0, 0, 3, 0, 0, 120, 1, 0, 0]
cuda:0 [24, 1, 94, 52, 4, 2, 0, 114, 0, 0, 18, 107, 0, 0, 11, 526, 0, 6, 489, 391, 1, 0, 31, 0, 59, 0, 0, 12, 0, 0, 36, 18, 0, 3579, 54, 0, 0, 0, 0, 16, 0, 0, 11, 141, 518, 6, 60, 0, 3, 36, 1, 4, 868, 658, 55, 0, 7, 1, 51, 101, 0, 8, 0, 18]
cuda:1 [3, 18, 0, 0, 0, 0, 0, 2744, 321, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3161, 1, 0, 3, 1, 0, 0, 142, 267, 0, 0, 0, 0, 0, 23, 0, 0, 0, 143, 0, 0, 0, 0, 2, 402, 20, 74, 0, 184, 1, 0, 2, 3, 0, 380, 0, 0, 2, 0, 0, 294, 0, 0, 0]
cuda:3 [0, 0, 0, 847, 497, 2, 0, 6, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 0, 0, 0, 1, 38, 1295, 0, 0, 794, 216, 0, 3617, 4, 0, 28, 35, 35, 4, 0, 0, 516, 0, 0, 75, 25, 0, 2, 0, 9, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 92, 0, 0, 3]
cuda:0 [0, 0, 34, 0, 83, 0, 0, 24, 21, 0, 17, 0, 251, 12, 0, 0, 0, 1, 0, 17, 203, 0, 0, 0, 0, 1, 30, 0, 0, 0, 6, 10, 3676, 0, 0, 0, 3, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2637, 1, 216, 7, 0, 0, 12, 0, 0, 0, 0, 0, 40, 878, 0, 3, 5]
cuda:2 [26, 2038, 2428, 0, 0, 0, 55, 165, 17, 1162, 4, 0, 0, 2, 1, 0, 1, 0, 12, 31, 654, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 9, 3, 5, 10, 0, 0, 0, 1, 57, 0, 0, 0, 0, 0, 0, 595, 1, 1, 160, 0, 0, 21, 61, 0, 0, 8, 0, 649, 5, 0, 0, 4]
cuda:1 [0, 72, 0, 0, 0, 0, 0, 93, 0, 90, 3, 9, 2584, 0, 0, 0, 0, 10, 93, 0, 0, 38, 0, 0, 0, 0, 0, 1, 295, 30, 592, 0, 0, 0, 0, 0, 10, 9, 0, 10, 2, 166, 0, 0, 0, 4, 1, 204, 0, 512, 0, 0, 2418, 13, 0, 96, 0, 31, 0, 0, 0, 0, 0, 806]
cuda:1 [396, 420, 155, 292, 563, 249, 313, 334, 41, 323, 156, 359, 210, 838, 342, 422, 70, 296, 157, 71, 71, 72, 47, 549, 119, 381, 31, 230, 741, 21, 164, 135, 381, 177, 141, 145, 160, 129, 146, 225, 43, 350, 186, 244, 391, 382, 343, 204, 120, 35, 171, 614, 81, 621, 305, 367, 92, 219, 566, 326, 148, 213, 193, 98]
cuda:3 [449, 388, 169, 252, 500, 227, 329, 353, 57, 379, 150, 390, 247, 838, 315, 397, 67, 252, 146, 84, 74, 79, 35, 613, 110, 385, 21, 236, 773, 12, 146, 94, 338, 205, 101, 119, 155, 160, 130, 230, 34, 339, 161, 216, 412, 397, 376, 222, 110, 44, 193, 657, 60, 655, 333, 299, 93, 197, 585, 295, 198, 210, 208, 85]
cuda:2 [459, 371, 178, 285, 502, 358, 322, 332, 58, 307, 121, 389, 227, 795, 327, 446, 73, 237, 163, 79, 84, 93, 39, 619, 114, 437, 23, 208, 715, 18, 160, 92, 317, 200, 128, 107, 156, 136, 143, 206, 27, 341, 153, 252, 469, 411, 409, 191, 109, 59, 163, 596, 74, 593, 306, 335, 72, 222, 563, 310, 160, 211, 229, 105]
cuda:0 [384, 442, 140, 303, 537, 251, 341, 345, 53, 318, 142, 363, 237, 735, 324, 402, 62, 236, 178, 65, 84, 55, 51, 617, 107, 421, 41, 230, 746, 35, 173, 137, 353, 174, 180, 140, 115, 142, 100, 207, 31, 330, 199, 250, 393, 365, 420, 197, 91, 71, 189, 714, 80, 642, 305, 361, 60, 201, 594, 291, 146, 247, 166, 75]
cuda:0 [91, 116, 31, 73, 143, 52, 81, 75, 21, 67, 24, 89, 57, 146, 83, 112, 12, 56, 40, 21, 37, 13, 13, 130, 26, 102, 10, 52, 161, 15, 43, 57, 103, 36, 63, 61, 31, 44, 25, 53, 8, 66, 74, 78, 104, 68, 94, 71, 28, 21, 58, 138, 14, 161, 105, 102, 20, 42, 133, 74, 47, 53, 47, 25]
cuda:1 [539, 566, 196, 377, 680, 333, 395, 406, 75, 460, 171, 444, 313, 1003, 401, 467, 75, 314, 218, 95, 80, 75, 55, 791, 143, 537, 25, 299, 898, 25, 227, 126, 450, 272, 184, 193, 171, 210, 133, 240, 43, 406, 214, 282, 439, 486, 487, 259, 140, 55, 224, 808, 104, 821, 374, 484, 95, 244, 676, 407, 189, 264, 220, 97]
cuda:3 [564, 503, 203, 302, 628, 291, 385, 450, 87, 426, 183, 474, 290, 1025, 412, 579, 97, 267, 230, 86, 95, 112, 45, 742, 109, 470, 37, 326, 981, 12, 199, 119, 419, 277, 135, 125, 173, 192, 183, 317, 39, 422, 220, 289, 526, 504, 478, 251, 156, 57, 213, 783, 84, 798, 431, 409, 104, 283, 749, 358, 216, 246, 204, 110]
cuda:2 [504, 468, 198, 337, 661, 378, 411, 411, 60, 450, 194, 419, 258, 1080, 412, 570, 84, 331, 182, 90, 94, 97, 31, 712, 135, 548, 37, 290, 936, 30, 205, 119, 442, 232, 184, 158, 188, 159, 150, 268, 40, 438, 234, 288, 613, 483, 466, 246, 144, 53, 219, 738, 97, 788, 399, 414, 95, 250, 726, 381, 217, 256, 251, 131]
cuda:1 [577, 590, 165, 405, 772, 358, 419, 453, 82, 472, 190, 487, 325, 1039, 432, 603, 105, 351, 240, 104, 113, 92, 77, 837, 161, 559, 45, 316, 938, 35, 232, 168, 513, 267, 260, 209, 200, 200, 158, 287, 51, 462, 305, 319, 547, 502, 553, 317, 145, 67, 260, 883, 101, 869, 411, 536, 98, 248, 778, 394, 218, 285, 238, 105]
cuda:3 [594, 515, 214, 358, 670, 310, 403, 462, 72, 474, 172, 478, 284, 1083, 404, 639, 98, 293, 235, 115, 111, 100, 44, 790, 140, 537, 33, 306, 966, 13, 246, 122, 429, 260, 176, 148, 193, 223, 165, 324, 39, 435, 221, 312, 560, 507, 523, 288, 134, 50, 210, 910, 76, 815, 402, 469, 92, 286, 767, 394, 209, 228, 242, 136]
